TRANSACTION TYPE,DATE POSTED,TRANSACTION AMOUNT,TRANSACTION ID,CHECK NUMBER,TRANSACTION NAME,MEMO
DEBIT,5/21/2015,-50,5721,,SQC*ANDREY LABUNSKY      .  /  ,SQC*ANDREY LABUNSKY      .  /         CA 05-20-15 031846
DEP,5/21/2015,501.27,5720,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEP,5/21/2015,2318.46,5719,,OREGON HEALTH SCSALARY    150519,OREGON HEALTH SCSALARY    150519
DEBIT,5/20/2015,-25.95,5718,,BANFIELD WELLNESS P      866-89,BANFIELD WELLNESS P      866-894-7927 OR 05-19-15 095824
DEBIT,5/20/2015,-1.05,5717,,USPS CHANGE OF66100      800-23,USPS CHANGE OF66100      800-2383150  TN 05-18-15 000618
DEBIT,5/19/2015,-730,5716,,SQC*ANDREY LABUNSKY      .  /  ,SQC*ANDREY LABUNSKY      .  /         CA 05-19-15 084656
DEBIT,5/19/2015,-30,5715,,AMEX EPayment   ACH PMT   150518,AMEX EPayment   ACH PMT   150518
DEBIT,5/19/2015,-1000,5714,,BK OF AMER MC   ONLINE PMT150519,BK OF AMER MC   ONLINE PMT150519
XFER,5/18/2015,-150,5713,,XFER To REWARDS SAVINGS (3),Sch OpenTrn 05/18/15 20:34ET  Ref. 333234423
DEBIT,5/18/2015,-20.05,5712,,PLANET FIT      CLUB FEES,PLANET FIT      CLUB FEES
DEBIT,5/18/2015,-20.05,5711,,PLANET FIT      CLUB FEES,PLANET FIT      CLUB FEES
DEBIT,5/16/2015,-2,5710,,MAGIC CLEANERS           PORTLA,MAGIC CLEANERS           PORTLAND     OR 05-16-15 757815
DEBIT,5/16/2015,-39.16,5709,,SAFEWAY  FUEL 10026      BEAVER,SAFEWAY  FUEL 10026      BEAVERTON    OR 05-15-15 017038
DEBIT,5/15/2015,-19.18,5708,,POS 0515 1825 049845 SAFEWAY  ST,POS 0515 1825 049845 SAFEWAY  STORE          BEAVERTON    OR
DEBIT,5/15/2015,-43.5,5707,,ATM 0515 1753 046866 25529 SW GW,ATM 0515 1753 046866 25529 SW GWEN DRIVE     WILSONVILLE  OR
DEBIT,5/15/2015,-230,5706,,BK OF AMER MC   ONLINE PMT150515,BK OF AMER MC   ONLINE PMT150515
DEBIT,5/14/2015,-20,5705,,76 10072296              TUALAT,76 10072296              TUALATIN     OR 05-13-15 066714
DEBIT,5/14/2015,-1755,5704,,SBI 0514 1622 961388 20210 TETON,SBI 0514 1622 961388 20210 TETON             TUALATIN     OR
DEBIT,5/14/2015,-50,5703,,AMEX EPayment   ACH PMT   150513,AMEX EPayment   ACH PMT   150513
DEP,5/14/2015,565.78,5702,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEBIT,5/14/2015,-302.71,5701,,NAVI  ED SERV PPSTUDNTLOAN150513,NAVI  ED SERV PPSTUDNTLOAN150513
CHECK,5/12/2015,-13316.72,5700,505793,W/D CHK,
DEBIT,5/11/2015,-93.11,5699,,City of Tigard  EBILLPAY  150511,City of Tigard  EBILLPAY  150511
DEBIT,5/11/2015,-400,5698,,BK OF AMER MC   ONLINE PMT150511,BK OF AMER MC   ONLINE PMT150511
XFER,5/8/2015,-50,5697,,XFER To USED AUTO - DEALER (146),Sch OpenTrn 05/08/15 20:43ET  Ref. 332708073
XFER,5/7/2015,-197.75,5696,,XFER To USED AUTO - DEALER (146),
DEP,5/7/2015,484.2,5695,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEP,5/7/2015,2251.81,5694,,OREGON HEALTH SCSALARY    150505,OREGON HEALTH SCSALARY    150505
DEBIT,5/6/2015,-150,5693,,AMEX EPayment   ACH PMT   150505,AMEX EPayment   ACH PMT   150505
DEBIT,5/6/2015,-37.31,5692,,NW Natural      GAS PMT   MAY 05,NW Natural      GAS PMT   MAY 05
DEBIT,5/6/2015,-250,5691,,BK OF AMER MC   ONLINE PMT150506,BK OF AMER MC   ONLINE PMT150506
DEBIT,5/4/2015,-5.58,5690,,POS 0504 1739 269119 COSTCO WHSE,POS 0504 1739 269119 COSTCO WHSE #076        WILSONVILLE  OR
XFER,5/4/2015,-16.16,5689,,XFER To PLATINUM VISA (169),Internet transfer 05/04/15 12:38ET  Ref. 332425724
DEBIT,5/4/2015,-300,5688,,Wells Fargo EducEBILLPAY  150504,Wells Fargo EducEBILLPAY  150504
DEBIT,5/4/2015,-700,5687,,BK OF AMER MC   ONLINE PMT150504,BK OF AMER MC   ONLINE PMT150504
DEBIT,5/4/2015,-440.77,5686,,WF EFS STDNT LN AUTOPAY   050415,WF EFS STDNT LN AUTOPAY   050415
DEP,5/4/2015,16.4,5685,,SBI 0503 1210 172370 Online Depo,SBI 0503 1210 172370 Online Deposit          #29622066
DEP,5/4/2015,180.83,5684,,SBI 0503 1209 172271 Online Depo,SBI 0503 1209 172271 Online Deposit          #29622019
DEP,5/4/2015,1443.62,5683,,SBI 0503 1206 172087 Online Depo,SBI 0503 1206 172087 Online Deposit          #29621924
DEBIT,5/4/2015,-12.95,5682,,TACO BELL 001600164      BEAVER,TACO BELL 001600164      BEAVERTON    OR 05-03-15 040540
CHECK,5/1/2015,-25.97,5681,1335,SH DRAFT,
XFER,5/1/2015,-150,5680,,XFER To REWARDS SAVINGS (3),Sch OpenTrn 05/01/15 21:03ET  Ref. 332308648
DEBIT,5/1/2015,-86.6,5679,,Frontier CommuniEBILLPAY  150501,Frontier CommuniEBILLPAY  150501
DEP,5/1/2015,414.7,5678,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DIV,4/30/2015,26.87,5677,,DIVIDEND,
CREDIT,4/30/2015,6.5,5676,,REV FEE,
DEP,4/29/2015,171.5,5675,,OIT             REFUND,OIT             REFUND
DEBIT,4/29/2015,-42.83,5674,,P.G.E.          WEBPAY,P.G.E.          WEBPAY
DEBIT,4/28/2015,-156.2,5673,,OCCU            LOAN PMT  150428,OCCU            LOAN PMT  150428
DEBIT,4/27/2015,-50,5672,,Wells Fargo FinaEBILLPAY  150427,Wells Fargo FinaEBILLPAY  150427
DEBIT,4/27/2015,-136.4,5671,,ATT             Payment   042515,ATT             Payment   042515
DEBIT,4/27/2015,-275,5670,,BK OF AMER MC   ONLINE PMT150427,BK OF AMER MC   ONLINE PMT150427
DEBIT,4/25/2015,-203.5,5669,,ATM 0425 1112 602188 25529 SW GW,ATM 0425 1112 602188 25529 SW GWEN DRIVE     WILSONVILLE  OR
DEBIT,4/23/2015,-2.58,5668,,POS 0423 1602 474360 COSTCO WHSE,POS 0423 1602 474360 COSTCO WHSE #076        WILSONVILLE  OR
DEP,4/23/2015,456.59,5667,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEBIT,4/23/2015,-50,5666,,AMEX EPayment   ACH PMT   150422,AMEX EPayment   ACH PMT   150422
DEBIT,4/23/2015,-290,5665,,BK OF AMER MC   ONLINE PMT150423,BK OF AMER MC   ONLINE PMT150423
DEP,4/23/2015,2333.34,5664,,OREGON HEALTH SCSALARY    150421,OREGON HEALTH SCSALARY    150421
DEBIT,4/20/2015,-43.55,5663,,SAFEWAY  FUEL 10026      BEAVER,SAFEWAY  FUEL 10026      BEAVERTON    OR 04-18-15 090031
DEBIT,4/20/2015,-25.95,5662,,BANFIELD WELLNESS P      866-89,BANFIELD WELLNESS P      866-894-7927 OR 04-19-15 090156
DEBIT,4/20/2015,-1.25,5661,,SESAME DONUTS            TIGARD,SESAME DONUTS            TIGARD       OR 04-17-15 000075
XFER,4/18/2015,-150,5660,,XFER To REWARDS SAVINGS (3),Sch OpenTrn 04/18/15 20:33ET  Ref. 331536524
DEBIT,4/18/2015,-23,5659,,ATM 0418 1209 113214 US BANK FRE,ATM 0418 1209 113214 US BANK FRED MEYER      WILSONVILLE  OR
DEBIT,4/17/2015,-250,5658,,BK OF AMER MC   ONLINE PMT150417,BK OF AMER MC   ONLINE PMT150417
DEP,4/17/2015,438.53,5657,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEBIT,4/17/2015,-20.05,5656,,PLANET FIT      CLUB FEES,PLANET FIT      CLUB FEES
DEBIT,4/17/2015,-20.05,5655,,PLANET FIT      CLUB FEES,PLANET FIT      CLUB FEES
DEBIT,4/16/2015,-150,5654,,AMEX EPayment   ACH PMT   150415,AMEX EPayment   ACH PMT   150415
CHECK,4/14/2015,-1461,5653,1444,SH DRAFT,
DEBIT,4/14/2015,-302.71,5652,,NAVI  ED SERV PPSTUDNTLOAN150413,NAVI  ED SERV PPSTUDNTLOAN150413
DEBIT,4/13/2015,-4.58,5651,,POS 0413 1648 771281 COSTCO WHSE,POS 0413 1648 771281 COSTCO WHSE #076        WILSONVILLE  OR
DEBIT,4/13/2015,-57.97,5650,,WINCO #023 7500          Tigard,WINCO #023 7500          Tigard       OR 04-13-15 731323
DEBIT,4/13/2015,-89.77,5649,,City of Tigard  EBILLPAY  150413,City of Tigard  EBILLPAY  150413
DEBIT,4/13/2015,-90,5648,,AMEX EPayment   ACH PMT   150411,AMEX EPayment   ACH PMT   150411
DEBIT,4/13/2015,-350,5647,,BK OF AMER MC   ONLINE PMT150413,BK OF AMER MC   ONLINE PMT150413
DEP,4/9/2015,373.28,5646,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEP,4/9/2015,2379.7,5645,,OREGON HEALTH SCSALARY    150407,OREGON HEALTH SCSALARY    150407
XFER,4/8/2015,-50,5644,,XFER To USED AUTO - DEALER (146),Sch OpenTrn 04/08/15 20:31ET  Ref. 330937712
XFER,4/7/2015,-197.75,5643,,XFER To USED AUTO - DEALER (146),
DEBIT,4/7/2015,-58.61,5642,,SAFEWAY  FUEL 10026      BEAVER,SAFEWAY  FUEL 10026      BEAVERTON    OR 04-06-15 069038
DEBIT,4/7/2015,-21.77,5641,,Waste Management8668342080150406,Waste Management8668342080150406
DEBIT,4/7/2015,-38.68,5640,,NW Natural      GAS PMT   APR 06,NW Natural      GAS PMT   APR 06
DEBIT,4/6/2015,-200,5639,,Wells Fargo EducEBILLPAY  150406,Wells Fargo EducEBILLPAY  150406
DEBIT,4/6/2015,-444.67,5638,,WF EFS STDNT LN AUTOPAY   040415,WF EFS STDNT LN AUTOPAY   040415
DEBIT,4/6/2015,-100,5637,,BK OF AMER MC   ONLINE PMT150406,BK OF AMER MC   ONLINE PMT150406
DEBIT,4/3/2015,-300,5636,,AMEX EPayment   ACH PMT   150402,AMEX EPayment   ACH PMT   150402
DEP,4/3/2015,462.92,5635,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEBIT,4/2/2015,-2.58,5634,,POS 0402 1732 014606 COSTCO WHSE,POS 0402 1732 014606 COSTCO WHSE #076        WILSONVILLE  OR
DEBIT,4/2/2015,-44.62,5633,,SAFEWAY  FUEL 10026      BEAVER,SAFEWAY  FUEL 10026      BEAVERTON    OR 04-01-15 070037
DEBIT,4/2/2015,-624,5632,,DEPT EDUCATION  STUDENT LN150401,DEPT EDUCATION  STUDENT LN150401
DEBIT,4/1/2015,-4.58,5631,,POS 0401 1839 946522 COSTCO WHSE,POS 0401 1839 946522 COSTCO WHSE #076        WILSONVILLE  OR
XFER,4/1/2015,-150,5630,,XFER To REWARDS SAVINGS (3),Sch OpenTrn 04/01/15 20:57ET  Ref. 330537165
DEBIT,4/1/2015,-8,5629,,Wire Transfer Fee-300643472,Wire Transfer Fee-300643472
DEP,4/1/2015,28871.02,5628,,Incoming Wire Transfer-300643466,Incoming Wire Transfer-300643466
DEBIT,4/1/2015,-133,5627,,IRS             USATAXPYMT040115,IRS             USATAXPYMT040115
DIV,3/31/2015,9.91,5626,,DIVIDEND,
CREDIT,3/31/2015,7,5625,,REV FEE,
DEBIT,3/31/2015,-250,5624,,AMEX EPayment   ACH PMT   150330,AMEX EPayment   ACH PMT   150330
DEBIT,3/31/2015,-43.87,5623,,P.G.E.          WEBPAY,P.G.E.          WEBPAY
DEBIT,3/31/2015,-3.5,5622,,SESAME DONUTS            TIGARD,SESAME DONUTS            TIGARD       OR 03-28-15 000035
DEBIT,3/30/2015,-87.94,5621,,WINCO #023 7500          Tigard,WINCO #023 7500          Tigard       OR 03-30-15 531208
XFER,3/30/2015,-50,5620,,XFER To PLATINUM VISA (169),Internet transfer 03/30/15 12:28ET  Ref. 330353863
DEBIT,3/30/2015,-34.99,5619,,Frontier CommuniEBILLPAY  150330,Frontier CommuniEBILLPAY  150330
DEBIT,3/30/2015,-135.44,5618,,ATT             Payment   032615,ATT             Payment   032615
DEP,3/30/2015,106.36,5617,,ELISA A. BURGESSQUICKBOOKS150331,ELISA A. BURGESSQUICKBOOKS150331
DEP,3/30/2015,624,5616,,OIT             REFUND,OIT             REFUND
DEBIT,3/30/2015,-150,5615,,BK OF AMER MC   ONLINE PMT150330,BK OF AMER MC   ONLINE PMT150330
DEBIT,3/30/2015,-156.2,5614,,OCCU            LOAN PMT  150330,OCCU            LOAN PMT  150330
DEBIT,3/30/2015,-300,5613,,AMEX EPayment   ACH PMT   150327,AMEX EPayment   ACH PMT   150327
DEBIT,3/27/2015,-56.71,5612,,SAFEWAY  FUEL 10026      BEAVER,SAFEWAY  FUEL 10026      BEAVERTON    OR 03-26-15 058042
DEP,3/26/2015,364.32,5611,,ATM 0326 2024 533678 14985 SW BA,ATM 0326 2024 533678 14985 SW BARROWS RD     BEAVERTON    OR
DEP,3/26/2015,421.17,5610,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEP,3/26/2015,2319.57,5609,,OREGON HEALTH SCSALARY    150324,OREGON HEALTH SCSALARY    150324
DEBIT,3/25/2015,-50,5608,,Wells Fargo FinaEBILLPAY  150325,Wells Fargo FinaEBILLPAY  150325
DEP,3/23/2015,60,5607,,ATM 0323 1919 316150 14985 SW BA,ATM 0323 1919 316150 14985 SW BARROWS RD     BEAVERTON    OR
DEBIT,3/23/2015,-8.67,5606,,TACO BELL 001600164      BEAVER,TACO BELL 001600164      BEAVERTON    OR 03-21-15 011063
DEBIT,3/23/2015,-500,5605,,BK OF AMER MC   ONLINE PMT150323,BK OF AMER MC   ONLINE PMT150323
DEBIT,3/23/2015,-3.5,5604,,SQ *DUTCH BROS. COF      Hillsb,SQ *DUTCH BROS. COF      Hillsboro    OR 03-22-15 082695
DEBIT,3/23/2015,-5.25,5603,,GRATEFUL BREAD LLC       PACIFI,GRATEFUL BREAD LLC       PACIFIC CITY OR 03-22-15 070038
DEBIT,3/23/2015,-7.99,5602,,INT*PACIFIC CITY HA      PACIFI,INT*PACIFIC CITY HA      PACIFIC CITY OR 03-21-15 018338
DEBIT,3/23/2015,-4.8,5601,,CITY OF PORTLAND DE      PORTLA,CITY OF PORTLAND DE      PORTLAND     OR 03-19-15 094176
DEBIT,3/23/2015,-57.6,5600,,SPORTSMANS PUB N GR      PACIFI,SPORTSMANS PUB N GR      PACIFIC CITY OR 03-21-15 086740
DEBIT,3/21/2015,-20,5599,,GRATEFUL BREAD LLC       PACIFI,GRATEFUL BREAD LLC       PACIFIC CITY OR 03-21-15 060035
DEBIT,3/21/2015,-18.77,5598,,CHESTER S HOMET          CLOVER,CHESTER S HOMET          CLOVERDALE   OR 03-21-15 264501
DEBIT,3/20/2015,-150,5597,,AMEX EPayment   ACH PMT   150319,AMEX EPayment   ACH PMT   150319
DEBIT,3/19/2015,-25.95,5596,,BANFIELD WELLNESS P      866-89,BANFIELD WELLNESS P      866-894-7927 OR 03-19-15 012298
DEP,3/19/2015,71,5595,,OR REVENUE DEPT TAX REFUND,OR REVENUE DEPT TAX REFUND
DEP,3/19/2015,405.89,5594,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
XFER,3/18/2015,-150,5593,,XFER To REWARDS SAVINGS (3),Sch OpenTrn 03/18/15 20:30ET  Ref. 329705260
DEBIT,3/17/2015,-6.99,5592,,NATURES PET MURR         BEAVER,NATURES PET MURR         BEAVERTON    OR 03-17-15 006270
DEBIT,3/17/2015,-20.05,5591,,Planet Fit 0771 MEMBERDUES031715,Planet Fit 0771 MEMBERDUES031715
DEBIT,3/17/2015,-10,5590,,Planet Fit 0771 MEMBERDUES031715,Planet Fit 0771 MEMBERDUES031715
CHECK,3/16/2015,-2500,5589,1443,SH DRAFT,
DEBIT,3/16/2015,-93.11,5588,,City of Tigard  EBILLPAY  150316,City of Tigard  EBILLPAY  150316
DEBIT,3/16/2015,-100,5587,,AMEX EPayment   ACH PMT   150314,AMEX EPayment   ACH PMT   150314
DEBIT,3/16/2015,-500,5586,,BK OF AMER MC   ONLINE PMT150316,BK OF AMER MC   ONLINE PMT150316
DEBIT,3/16/2015,-302.71,5585,,NAVI  ED SERV PPSTUDNTLOAN150313,NAVI  ED SERV PPSTUDNTLOAN150313
DEP,3/12/2015,442.55,5584,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEP,3/12/2015,2152.94,5583,,OREGON HEALTH SCSALARY    150310,OREGON HEALTH SCSALARY    150310
DEBIT,3/11/2015,-450,5582,,BK OF AMER MC   ONLINE PMT150311,BK OF AMER MC   ONLINE PMT150311
XFER,3/10/2015,1000,5581,,XFER From REWARDS SAVINGS (3),Internet transfer 03/10/15 11:06ET  Ref. 329210391
DEP,3/9/2015,339,5580,,ATM 0309 1616 336961 US BANK GRE,ATM 0309 1616 336961 US BANK GREENWAY        BEAVERTON    OR
DEBIT,3/9/2015,-160,5579,,ATM 0309 1109 314295 14985 SW BA,ATM 0309 1109 314295 14985 SW BARROWS RD     BEAVERTON    OR
DEP,3/9/2015,25,5578,,ATM 0309 1109 314277 14985 SW BA,ATM 0309 1109 314277 14985 SW BARROWS RD     BEAVERTON    OR
DEBIT,3/9/2015,-41.62,5577,,NW Natural      GAS PMT   MAR 06,NW Natural      GAS PMT   MAR 06
DEBIT,3/9/2015,-503,5576,,ATM 0308 1600 268177 US BANK FRE,ATM 0308 1600 268177 US BANK FRED MEYER      WILSONVILLE  OR
XFER,3/7/2015,-197.75,5575,,XFER To USED AUTO - DEALER (146),
DEP,3/5/2015,373.28,5574,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
CHECK,3/4/2015,-161,5573,20033,SH DRAFT,BILL PAY TO: VILLAGE AT SUMMER CREEK HOMEOWNERS' ASS.
DEBIT,3/4/2015,-51.82,5572,,SAFEWAY  FUEL 10026      BEAVER,SAFEWAY  FUEL 10026      BEAVERTON    OR 03-03-15 042014
DEBIT,3/4/2015,-200,5571,,Wells Fargo EducEBILLPAY  150304,Wells Fargo EducEBILLPAY  150304
DEBIT,3/4/2015,-449.58,5570,,WF EFS STDNT LN AUTOPAY   030415,WF EFS STDNT LN AUTOPAY   030415
DEBIT,3/4/2015,-135.44,5569,,ATT             Payment   030215,ATT             Payment   030215
DEBIT,3/4/2015,-504,5568,,ATM 0303 2112 938490 12744 SW No,ATM 0303 2112 938490 12744 SW North Dako     Tigard       OR
DEBIT,3/3/2015,-44.36,5567,,SAFEWAY  FUEL 10026      BEAVER,SAFEWAY  FUEL 10026      BEAVERTON    OR 03-02-15 041037
DEBIT,3/3/2015,-100,5566,,AMEX EPayment   ACH PMT   150302,AMEX EPayment   ACH PMT   150302
DEBIT,3/3/2015,-500,5565,,BK OF AMER MC   ONLINE PMT150303,BK OF AMER MC   ONLINE PMT150303
DEBIT,3/3/2015,-46.35,5564,,P.G.E.          WEBPAY,P.G.E.          WEBPAY
DEBIT,3/2/2015,-156.2,5563,,OCCU            LOAN PMT  150302,OCCU            LOAN PMT  150302
XFER,3/2/2015,-150,5562,,XFER To REWARDS SAVINGS (3),Sch OpenTrn 03/01/15 20:48ET  Ref. 328716280
DIV,2/28/2015,0.48,5561,,DIVIDEND,
DEP,2/26/2015,344.75,5560,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEP,2/26/2015,2184.93,5559,,OREGON HEALTH SCSALARY    150224,OREGON HEALTH SCSALARY    150224
DEBIT,2/25/2015,-50,5558,,Wells Fargo FinaEBILLPAY  150225,Wells Fargo FinaEBILLPAY  150225
DEBIT,2/23/2015,-34.99,5557,,Frontier CommuniEBILLPAY  150223,Frontier CommuniEBILLPAY  150223
DEBIT,2/23/2015,-1317.48,5556,,Nationstar MortgEBILLPAY  150223,Nationstar MortgEBILLPAY  150223
DEBIT,2/23/2015,-100,5555,,AMEX EPayment   ACH PMT   150221,AMEX EPayment   ACH PMT   150221
DEBIT,2/23/2015,-200,5554,,BK OF AMER MC   ONLINE PMT150223,BK OF AMER MC   ONLINE PMT150223
DEBIT,2/19/2015,-17.17,5553,,RONS OIL CO 10           BEND  ,RONS OIL CO 10           BEND         OR 02-18-15 071662
DEBIT,2/19/2015,-25.95,5552,,BANFIELD WELLNESS P      866-89,BANFIELD WELLNESS P      866-894-7927 OR 02-19-15 003768
DEP,2/19/2015,361.06,5551,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
XFER,2/18/2015,-150,5550,,XFER To REWARDS SAVINGS (3),Sch OpenTrn 02/18/15 20:36ET  Ref. 328024494
DEBIT,2/18/2015,-250,5549,,BK OF AMER MC   ONLINE PMT150218,BK OF AMER MC   ONLINE PMT150218
DEBIT,2/17/2015,-25.04,5548,,#00576 ALBERTSON         TIGARD,#00576 ALBERTSON         TIGARD       OR 02-17-15 703205
DEBIT,2/17/2015,-10,5547,,Planet Fit 0771 MEMBERDUES021715,Planet Fit 0771 MEMBERDUES021715
DEBIT,2/17/2015,-20.05,5546,,Planet Fit 0771 MEMBERDUES021715,Planet Fit 0771 MEMBERDUES021715
DEBIT,2/17/2015,-302.71,5545,,NAVI  ED SERV PPSTUDNTLOAN150213,NAVI  ED SERV PPSTUDNTLOAN150213
DEBIT,2/17/2015,-25,5544,,OHSU                     PORTLA,OHSU                     PORTLAND     OR 02-13-15 042121
DEBIT,2/13/2015,-90.94,5543,,City of Tigard  EBILLPAY  150213,City of Tigard  EBILLPAY  150213
DEBIT,2/13/2015,-250,5542,,AMEX EPayment   ACH PMT   150212,AMEX EPayment   ACH PMT   150212
DEBIT,2/13/2015,-250,5541,,BK OF AMER MC   ONLINE PMT150213,BK OF AMER MC   ONLINE PMT150213
DEP,2/12/2015,401.81,5540,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEP,2/12/2015,2253.78,5539,,OREGON HEALTH SCSALARY    150210,OREGON HEALTH SCSALARY    150210
DEP,2/12/2015,128.9,5538,,ATM 0211 2208 561031 US BANK GRE,ATM 0211 2208 561031 US BANK GREENWAY        BEAVERTON    OR
DEP,2/12/2015,30,5537,,ATM 0211 2207 561025 US BANK GRE,ATM 0211 2207 561025 US BANK GREENWAY        BEAVERTON    OR
DEBIT,2/10/2015,-2,5536,,REDBOX *DVD RENTAL       OAKBRO,REDBOX *DVD RENTAL       OAKBROOK TER IL 02-09-15 077363
DEBIT,2/9/2015,-52.41,5535,,WINCO #023 7500          Tigard,WINCO #023 7500          Tigard       OR 02-09-15 515746
DEBIT,2/9/2015,-200,5534,,BK OF AMER MC   ONLINE PMT150209,BK OF AMER MC   ONLINE PMT150209
DEBIT,2/9/2015,-8.37,5533,,#00576 ALBERTSON         TIGARD,#00576 ALBERTSON         TIGARD       OR 02-08-15 721426
DEBIT,2/9/2015,-5.99,5532,,SESAME DONUTS            TIGARD,SESAME DONUTS            TIGARD       OR 02-07-15 000024
XFER,2/7/2015,-197.75,5531,,XFER To USED AUTO - DEALER (146),
DEBIT,2/6/2015,-2.99,5530,,POS 0206 1809 221163 WHOLEFDS GN,POS 0206 1809 221163 WHOLEFDS GNW #10        Tigard       OR
DEBIT,2/6/2015,-45.8,5529,,Waste Management8668342080150205,Waste Management8668342080150205
DEBIT,2/6/2015,-55.95,5528,,NW Natural      GAS PMT   FEF 05,NW Natural      GAS PMT   FEF 05
DEBIT,2/5/2015,-3.83,5527,,WALGREENS 14600          BEAVER,WALGREENS 14600          BEAVERTON    OR 02-05-15 026565
DEP,2/5/2015,373.27,5526,,POINT MONITOR   HQ PAYROLL,POINT MONITOR   HQ PAYROLL
DEBIT,2/4/2015,-200,5525,,Wells Fargo EducEBILLPAY  150204,Wells Fargo EducEBILLPAY  150204
DEBIT,2/4/2015,-449.58,5524,,WF EFS STDNT LN AUTOPAY   020415,WF EFS STDNT LN AUTOPAY   020415
CHECK,2/2/2015,-17,5523,1442,SH DRAFT,
