Posted Date,Reference Number,Payee,Address,Amount
4/24/2015,2.43889E+22,PROGRESS RIDGE ACE HAR BEAVERTON OH,BEAVERTON     OH ,-4.99
4/24/2015,2.41641E+22,SAFEWAY STORE00026310 BEAVERTON OR,BEAVERTON     OR ,-18.28
4/25/2015,                       ,INTEREST CHARGED ON DIR DEP&CHK CASHADV,,0
4/25/2015,                       ,INTEREST CHARGED ON PURCHASES,,0
4/25/2015,                       ,INTEREST CHARGED ON BANK CASH ADVANCES,,0
4/25/2015,                       ,INTEREST CHARGED ON BALANCE TRANSFERS,,0
4/25/2015,2.46922E+22,SQ *DUTCH BROS. TIGARD Tigard OR,Tigard        OR ,-4.25
4/27/2015,2.4445E+22,FRED MEYER #0516 WILSONVILLE OR,WILSONVILLE   OR ,-24.17
4/27/2015,1.16734E+22,BA ELECTRONIC PAYMENT,,275
4/27/2015,2.42317E+22,PAPA MURPHY'S OR034 BEAVERTON OR,BEAVERTON     OR ,-14
4/27/2015,2.4445E+22,WHOLEFDS GNW #10537 TIGARD OR,TIGARD        OR ,-24.47
4/27/2015,2.41862E+22,BURGER KING #15568 WILSONVILLE OR,WILSONVILLE   OR ,-9.68
4/28/2015,2.44311E+22,PANDA EXPRESS #1051 WILSONVILLE OR,WILSONVILLE   OR ,-16
4/28/2015,2.46922E+22,"APEX HOME INSPECTIONS, HAPPY VALLEY OR",HAPPY VALLEY  OR ,-570
4/28/2015,2.47893E+22,THIRSTY LION PUB AND GRILTIGARD OR,TIGARD        OR ,-12
4/28/2015,2.46922E+22,SQ *DUTCH BROS. COFFEE - Portland OR,Portland      OR ,-4.5
4/29/2015,2.40711E+22,WHITE OWL SOCIAL CLUB PORTLAND OR,PORTLAND      OR ,-12
4/29/2015,2.46922E+22,SQ *DUTCH BROS. SHERWOOD Sherwood OR,Sherwood      OR ,-3.5
4/30/2015,2.47554E+22,OHSU PORTLAND OR,PORTLAND      OR ,-25
5/1/2015,2.47893E+22,THIRSTY LION PUB AND GRILTIGARD OR,TIGARD        OR ,-48
5/1/2015,2.41641E+22,SAFEWAY STORE00026310 BEAVERTON OR,BEAVERTON     OR ,-2.99
5/2/2015,1.22734E+22,BA ELECTRONIC PAYMENT,,700
5/2/2015,2.4445E+22,JAMBA JUICE #276 WILSONVILLE OR,WILSONVILLE   OR ,-5.09
5/2/2015,2.41641E+22,SUBWAY 00287268 WILSONVILLE OR,WILSONVILLE   OR ,-7.5
5/4/2015,2.44311E+22,WILD ROOTS VODKA PORTLAND OR,PORTLAND      OR ,-32.95
5/4/2015,2.42514E+22,TWIGS BISTRO AND MARTINI TUALATIN OR,TUALATIN      OR ,-14
5/4/2015,2.46922E+22,SQ *DUTCH BROS COFFEE Woodburn OR,Woodburn      OR ,-8
5/4/2015,2.4399E+22,YARD HOUSE 00083451 PORTLAND OR,PORTLAND      OR ,-76
5/4/2015,2.47554E+22,REGAL CINEMAS BRIDGEPORT TIGARD OR,TIGARD        OR ,-18.25
5/4/2015,2.47554E+22,REGAL CINEMAS BRIDGEPORT TIGARD OR,TIGARD        OR ,-23
5/4/2015,2.41641E+22,TACO BELL 001600164616 BEAVERTON OR,BEAVERTON     OR ,-6.17
5/5/2015,1.25734E+22,BA ELECTRONIC PAYMENT,,250
5/5/2015,2.44311E+22,CHIPOTLE 0846 PORTLAND OR,PORTLAND      OR ,-10
5/5/2015,2.40711E+22,AVA ROASTERIA CO - BAR BEAVERTON OR,BEAVERTON     OR ,-3.65
5/5/2015,2.41641E+22,TARGET 00003459 TIGARD OR,TIGARD        OR ,-33.37
5/5/2015,2.46922E+22,SQ *HEATHER PRAST Portland OR,Portland      OR ,-77
5/5/2015,2.40134E+22,LA PROVENCE BEAVERTON OR,BEAVERTON     OR ,-18.9
5/6/2015,2.4445E+22,JAMBA JUICE - BRIDGEPORT TIGARD OR,TIGARD        OR ,-14.09
5/6/2015,7.41641E+22,TARGET 00003459 TIGARD OR,TIGARD        OR ,9.99
5/6/2015,2.4445E+22,NORDSTROM RACK #0125 BEAVERTON OR,BEAVERTON     OR ,-123.68
5/6/2015,2.46922E+22,SQ *DUTCH BROS. TIGARD Tigard OR,Tigard        OR ,-4.5
5/6/2015,2.41641E+22,SAFEWAY STORE00026310 BEAVERTON OR,BEAVERTON     OR ,-73.02
5/7/2015,2.40552E+22,GRAND CENTRAL BAKING SEL PORTLAND OR,PORTLAND      OR ,-25.6
5/7/2015,2.46922E+22,TFI*TICKETFLY EVENTS 877-435-9849 CA,877-435-9849  CA ,-30.16
5/7/2015,2.46104E+22,THE HOME DEPOT 4002 TIGARD OR,TIGARD        OR ,-7.97
5/8/2015,2.4445E+22,JAMBA JUICE - NYBERG TUALATIN OR,TUALATIN      OR ,-5.29
5/8/2015,2.40552E+22,GRAND CENTRAL BAKING SEL PORTLAND OR,PORTLAND      OR ,-11.6
5/8/2015,2.47554E+22,OHSU PORTLAND OR,PORTLAND      OR ,-25
5/9/2015,1.28734E+22,BA ELECTRONIC PAYMENT,,400
5/9/2015,2.44311E+22,CHIPOTLE 1015 TUALATIN OR,TUALATIN      OR ,-12.6
5/9/2015,2.46922E+22,SQ *DUTCH BROS COFFEE TUATualatin OR,Tualatin      OR ,-4
5/11/2015,2.4445E+22,WHOLEFDS GNW #10537 TIGARD OR,TIGARD        OR ,-58.8
5/11/2015,2.4445E+22,WHOLEFDS GNW #10537 TIGARD OR,TIGARD        OR ,-17.97
5/11/2015,2.46922E+22,SQ *DUTCH BROS. TIGARD Tigard OR,Tigard        OR ,-5.5
5/12/2015,2.44311E+22,PANDA EXPRESS #1051 WILSONVILLE OR,WILSONVILLE   OR ,-7.4
5/12/2015,2.4445E+22,FRED M FUEL #9661 Q76 HILLSBORO OR,HILLSBORO     OR ,-66.14
5/13/2015,2.44273E+22,HAGGEN #02074 TIGARD OR,TIGARD        OR ,-10.97
5/13/2015,2.47893E+22,COPPER RIVER RESTAURANT AHILLSBORO OR,HILLSBORO     OR ,-115.65
5/13/2015,2.42465E+22,COST PLUS WLD #60 TIGARD OR,TIGARD        OR ,-40.86
5/14/2015,1.33734E+22,BA ELECTRONIC PAYMENT,,230
5/14/2015,2.46922E+22,LOWES #01108* TIGARD OR,TIGARD        OR ,-136.75
5/14/2015,2.46922E+22,SQ *DUTCH BROS. TIGARD Tigard OR,Tigard        OR ,-4.5
5/15/2015,2.4445E+22,JAMBA JUICE - NYBERG TUALATIN OR,TUALATIN      OR ,-5.79
5/15/2015,2.4445E+22,FRED-MEYER #0393 TUALATIN OR,TUALATIN      OR ,-17.57
5/15/2015,2.41641E+22,SUBWAY 00307421 TUALATIN OR,TUALATIN      OR ,-11.05
5/16/2015,2.44311E+22,PANDA EXPRESS #1051 WILSONVILLE OR,WILSONVILLE   OR ,-15
5/16/2015,2.44922E+22,FRY'S ELECTRONICS #16 WILSONVILLE OR,WILSONVILLE   OR ,-679.96
5/16/2015,2.40152E+22,76 10044592 TIGARD OR,TIGARD        OR ,-52.43
5/16/2015,2.47171E+22,OHSU FOOD SERVICES PORTLAND OR,PORTLAND      OR ,-4.38
5/16/2015,2.4762E+22,BURGERVILLE USA #34 WOODLAND WA,WOODLAND      WA ,-19.17
5/18/2015,1.38734E+22,BA ELECTRONIC PAYMENT,,1000
5/18/2015,2.46922E+22,"SQ *EAST-CO, INC. Salem OR",Salem         OR ,-3
5/18/2015,2.47171E+22,PARKNG MGMT CO 0610064A PORTLAND OR,PORTLAND      OR ,-15
5/18/2015,2.4494E+22,PAZZO RISTORANTE PORTLAND OR,PORTLAND      OR ,-20
5/18/2015,2.44273E+22,PANERA BREAD #1168 TUALATIN OR,TUALATIN      OR ,-14.77
5/18/2015,2.4445E+22,U-HAUL-CT-OF-TIGA #70427 TIGARD OR,TIGARD        OR ,-128.53
5/18/2015,2.42991E+22,7-ELEVEN 23726 TUALATIN OR,TUALATIN      OR ,-2.49
5/18/2015,2.46922E+22,SQ *DUTCH BROS COFFEE Woodburn OR,Woodburn      OR ,-3.5
5/18/2015,2.4445E+22,U-HAUL-CT-OF-TIGA #70427 TIGARD OR,TIGARD        OR ,-84.45
5/18/2015,2.41641E+22,TACO BELL 001600164616 BEAVERTON OR,BEAVERTON     OR ,-12.45
5/19/2015,2.44311E+22,CHIPOTLE 0846 PORTLAND OR,PORTLAND      OR ,-22.25
5/19/2015,2.46104E+22,THE HOME DEPOT 4002 TIGARD OR,TIGARD        OR ,-148.34
5/20/2015,2.46922E+22,SQ *DUTCH BROS COFFEE TUATualatin OR,Tualatin      OR ,-4
5/20/2015,2.47554E+22,OHSU CLINICS PORTLAND OR,PORTLAND      OR ,-25
5/20/2015,2.4445E+22,FRED-MEYER #0393 TUALATIN OR,TUALATIN      OR ,-8.37
5/20/2015,2.46104E+22,THE HOME DEPOT 4002 TIGARD OR,TIGARD        OR ,-38.62
5/21/2015,2.4494E+22,MASHITA TERIYAKI 3 TUALATIN OR,TUALATIN      OR ,-6.95
5/21/2015,2.46922E+22,SQ *DUTCH BROS. TIGARD Tigard OR,Tigard        OR ,-4.5
5/22/2015,2.4494E+22,PIEOLOGY NYBERG RIVERS TUALATIN OR,TUALATIN      OR ,-19.8
5/22/2015,2.41641E+22,USPS CHANGE OF66100959 800-2383150 TN,800-2383150   TN ,-1.05
5/22/2015,2.42991E+22,7-ELEVEN 23726 TUALATIN OR,TUALATIN      OR ,-1.89
5/23/2015,2.4445E+22,WM SUPERCENTER #5995 LAKE OSWEGO OR,LAKE OSWEGO   OR ,-33.72
5/23/2015,2.4445E+22,HOMEGOODS # 0660 TUALATIN OR,TUALATIN      OR ,-759.97
5/25/2015,                       ,INTEREST CHARGED ON DIR DEP&CHK CASHADV,,0
5/25/2015,                       ,INTEREST CHARGED ON PURCHASES,,0
5/25/2015,                       ,INTEREST CHARGED ON BANK CASH ADVANCES,,0
5/25/2015,                       ,INTEREST CHARGED ON BALANCE TRANSFERS,,0
5/25/2015,2.44273E+22,PANERA BREAD #1168 TUALATIN OR,TUALATIN      OR ,-5.48
5/25/2015,2.47652E+22,BRIDGEPORT BREWING CO. PORTLAND OR,PORTLAND      OR ,-13.25
5/25/2015,2.40134E+22,LUCKY LABRADOR BEER HALL PORTLAND OR,PORTLAND      OR ,-5.95
5/25/2015,2.4494E+22,SALT & STRAW PORTLAND OR,PORTLAND      OR ,-15.93
5/25/2015,2.46922E+22,LOWES #01108* TIGARD OR,TIGARD        OR ,-84.94
5/25/2015,2.4445E+22,BRIX TAVERN PORTLAND OR,PORTLAND      OR ,-54.44
5/25/2015,2.47171E+22,CITY OF PORTLAND DEPT PORTLAND OR,PORTLAND      OR ,-4.8
5/25/2015,2.47171E+22,CITY OF PORTLAND DEPT PORTLAND OR,PORTLAND      OR ,-0.4
5/25/2015,2.47171E+22,CITY OF PORTLAND DEPT PORTLAND OR,PORTLAND      OR ,-1.25
5/25/2015,2.4445E+22,FRED-MEYER #0393 TUALATIN OR,TUALATIN      OR ,-91.94
5/25/2015,2.46922E+22,SQ *DUTCH BROS COFFEE TUATualatin OR,Tualatin      OR ,-4
